watch_event_id,impression_id,session_id,user_id,video_id,creator_id,action,watch_seconds,started_at,ended_at,started_at_raw
44,44,9,18,2569,123,exit_platform,5,2025-08-01T19:36:11Z,2025-08-01T19:36:16Z,2025-08-01T19:36:11Z
45,45,10,18,64,19,watch_full,41,2025-08-01T17:39:53Z,2025-08-01T17:40:34Z,2025-08-01T17:39:53Z
46,46,10,18,28,208,skip_immediate,0,2025-08-01T17:40:35Z,2025-08-01T17:40:36Z,20250801 174035
47,47,10,18,2175,179,exit_platform,NA,2025-08-01T17:40:40Z,2025-08-01T17:40:43Z,2025-08-01T17:40:40Z
48,48,11,18,3417,43,watch_full,26,2025-08-01T06:30:36Z,2025-08-01T06:31:02Z,1754029836
49,49,11,18,169,198,skip_immediate,0,2025-08-01T06:31:03Z,2025-08-01T06:31:04Z,2025-08-01T06:31:03Z
50,50,11,18,878,192,exit_platform,5,2025-08-01T06:31:08Z,2025-08-01T06:31:13Z,20250801 063108
51,51,12,21,2792,209,skip_immediate,0,2025-08-01T01:13:12Z,2025-08-01T01:13:13Z,2025-08-01T01:13:12Z
52,52,12,21,703,145,exit_platform,8,2025-08-01T01:13:16Z,2025-08-01T01:13:24Z,20250801 011316
53,53,13,21,2478,88,skip_after_partial,25,2025-08-01T16:07:46Z,2025-08-01T16:08:11Z,2025-08-01T16:07:46Z
54,54,13,21,1773,12,exit_platform,3,2025-08-01T16:08:15Z,2025-08-01T16:08:18Z,20250801 160815
55,55,14,23,85,131,watch_full,38,2025-08-01T00:47:29Z,2025-08-01T00:48:07Z,2025-08-01T00:47:29Z
56,56,14,23,768,209,skip_after_partial,19,2025-08-01T00:48:09Z,2025-08-01T00:48:28Z,2025-08-01T00:48:09Z
57,57,14,23,1249,160,skip_immediate,0,2025-08-01T00:48:30Z,2025-08-01T00:48:31Z,20250801 004830
58,58,14,23,3805,158,watch_full,43,2025-08-01T00:48:32Z,2025-08-01T00:49:15Z,2025-08-01T00:48:32Z
59,59,14,23,876,116,exit_platform,NA,2025-08-01T00:49:17Z,2025-08-01T00:49:23Z,2025-08-01T00:49:17Z
60,60,15,29,46,178,watch_full,51,2025-08-01T02:12:10Z,2025-08-01T02:13:01Z,20250801 021210
61,61,15,29,1566,175,skip_after_partial,19,2025-08-01T02:13:02Z,2025-08-01T02:13:21Z,2025-08-01T02:13:02Z
62,62,15,29,1849,132,exit_platform,NA,2025-08-01T02:13:24Z,2025-08-01T02:13:30Z,20250801 021324
63,63,16,34,1812,145,skip_after_partial,24,2025-08-01T07:09:27Z,2025-08-01T07:09:51Z,20250801 070927
64,64,16,34,85,131,skip_after_partial,14,2025-08-01T07:09:55Z,2025-08-01T07:10:09Z,2025-08-01T07:09:55Z
65,65,16,34,1774,82,skip_after_partial,NA,2025-08-01T07:10:10Z,2025-08-01T07:10:36Z,2025-08-01T07:10:10Z
66,66,16,34,2175,179,skip_immediate,0,2025-08-01T07:10:40Z,2025-08-01T07:10:41Z,2025-08-01T07:10:40Z
67,67,16,34,1974,98,watch_full,NA,2025-08-01T07:10:42Z,2025-08-01T07:11:17Z,20250801 071042
68,68,16,34,4303,16,skip_after_partial,20,2025-08-01T07:11:19Z,2025-08-01T07:11:39Z,20250801 071119
69,69,16,34,3224,117,exit_platform,11,2025-08-01T07:11:40Z,2025-08-01T07:11:51Z,2025-08-01T07:11:40Z
70,70,17,34,878,192,skip_after_partial,10,2025-08-01T12:00:48Z,2025-08-01T12:00:58Z,2025-08-01T12:00:48Z
71,71,17,34,3002,118,skip_after_partial,20,2025-08-01T12:01:01Z,2025-08-01T12:01:21Z,2025-08-01T12:01:01Z
72,72,17,34,1974,98,skip_after_partial,NA,2025-08-01T12:01:25Z,2025-08-01T12:01:45Z,2025-08-01T12:01:25Z
73,73,17,34,4120,87,exit_platform,9,2025-08-01T12:01:49Z,2025-08-01T12:01:58Z,2025-08-01T12:01:49Z
74,74,18,34,3640,117,watch_full,29,2025-08-01T01:09:30Z,2025-08-01T01:09:59Z,20250801 010930
75,75,18,34,805,155,exit_platform,6,2025-08-01T01:10:03Z,2025-08-01T01:10:09Z,2025-08-01T01:10:03Z
76,76,19,35,1808,182,exit_platform,12,2025-08-01T17:26:11Z,2025-08-01T17:26:23Z,20250801 172611
77,77,20,41,4059,179,skip_immediate,NA,2025-08-01T18:07:55Z,2025-08-01T18:07:56Z,2025-08-01T18:07:55Z
78,78,20,41,1249,160,skip_after_partial,22,2025-08-01T18:07:58Z,2025-08-01T18:08:20Z,2025-08-01T18:07:58Z
79,79,20,41,2397,44,skip_after_partial,NA,2025-08-01T18:08:24Z,2025-08-01T18:08:35Z,2025-08-01T18:08:24Z
80,80,20,41,2146,88,skip_after_partial,13,2025-08-01T18:08:37Z,2025-08-01T18:08:50Z,2025-08-01T18:08:37Z
81,81,20,41,2345,42,exit_platform,12,2025-08-01T18:08:53Z,2025-08-01T18:09:05Z,1754071733
82,82,21,41,805,155,skip_immediate,0,2025-08-01T10:16:55Z,2025-08-01T10:16:56Z,20250801 101655
83,83,21,41,3565,168,exit_platform,NA,2025-08-01T10:16:58Z,2025-08-01T10:17:04Z,2025-08-01T10:16:58Z
84,84,22,42,4303,16,watch_full,38,2025-08-01T06:58:01Z,2025-08-01T06:58:39Z,20250801 065801
85,85,22,42,1548,45,exit_platform,10,2025-08-01T06:58:40Z,2025-08-01T06:58:50Z,2025-08-01T06:58:40Z
86,86,23,47,3906,56,exit_platform,10,2025-08-01T07:18:31Z,2025-08-01T07:18:41Z,2025-08-01T07:18:31Z
87,87,24,47,47,124,skip_immediate,0,2025-08-01T14:51:19Z,2025-08-01T14:51:20Z,2025-08-01T14:51:19Z
88,88,24,47,4269,53,watch_full,30,2025-08-01T14:51:22Z,2025-08-01T14:51:52Z,20250801 145122
89,89,24,47,703,145,skip_after_partial,8,2025-08-01T14:51:53Z,2025-08-01T14:52:01Z,2025-08-01T14:51:53Z
90,90,24,47,1147,134,skip_immediate,0,2025-08-01T14:52:02Z,2025-08-01T14:52:03Z,20250801 145202
91,91,24,47,4065,73,skip_immediate,0,2025-08-01T14:52:06Z,2025-08-01T14:52:07Z,2025-08-01T14:52:06Z
92,92,24,47,1548,45,exit_platform,6,2025-08-01T14:52:11Z,2025-08-01T14:52:17Z,1754059931
93,93,25,47,3884,134,exit_platform,8,2025-08-01T15:09:03Z,2025-08-01T15:09:11Z,2025-08-01T15:09:03Z
94,94,26,48,3417,43,watch_full,26,2025-08-01T07:19:49Z,2025-08-01T07:20:15Z,2025-08-01T07:19:49Z
95,95,26,48,2723,174,exit_platform,7,2025-08-01T07:20:17Z,2025-08-01T07:20:24Z,20250801 072017
96,96,27,53,2569,123,exit_platform,5,2025-08-01T00:02:48Z,2025-08-01T00:02:53Z,2025-08-01T00:02:48Z
97,97,28,53,1548,45,skip_after_partial,9,2025-08-01T09:08:46Z,2025-08-01T09:08:55Z,20250801 090846
98,98,28,53,2175,179,watch_full,26,2025-08-01T09:08:56Z,2025-08-01T09:09:22Z,2025-08-01T09:08:56Z
99,99,28,53,2175,179,watch_full,26,2025-08-01T09:09:24Z,2025-08-01T09:09:50Z,2025-08-01T09:09:24Z
100,100,28,53,1974,98,exit_platform,NA,2025-08-01T09:09:51Z,2025-08-01T09:10:01Z,2025-08-01T09:09:51Z
101,101,29,55,3224,117,skip_after_partial,13,2025-08-01T00:55:47Z,2025-08-01T00:56:00Z,2025-08-01T00:55:47Z
102,102,29,55,1849,132,exit_platform,NA,2025-08-01T00:56:03Z,2025-08-01T00:56:06Z,2025-08-01T00:56:03Z
103,103,30,55,878,192,watch_full,16,2025-08-01T17:17:44Z,2025-08-01T17:18:00Z,2025-08-01T17:17:44Z
104,104,30,55,3012,194,skip_after_partial,34,2025-08-01T17:18:03Z,2025-08-01T17:18:37Z,20250801 171803
105,105,30,55,1849,132,watch_full,NA,2025-08-01T17:18:38Z,2025-08-01T17:19:15Z,2025-08-01T17:18:38Z
106,106,30,55,4269,53,exit_platform,6,2025-08-01T17:19:16Z,2025-08-01T17:19:22Z,2025-08-01T17:19:16Z
107,107,31,56,1249,160,skip_after_partial,22,2025-08-01T09:50:41Z,2025-08-01T09:51:03Z,20250801 095041
108,108,31,56,2136,123,skip_after_partial,8,2025-08-01T09:51:06Z,2025-08-01T09:51:14Z,2025-08-01T09:51:06Z
109,109,31,56,16,187,watch_full,NA,2025-08-01T09:51:15Z,2025-08-01T09:51:42Z,20250801 095115
110,110,31,56,1508,116,skip_immediate,0,2025-08-01T09:51:43Z,2025-08-01T09:51:44Z,2025-08-01T09:51:43Z
111,111,31,56,1202,36,watch_full,35,2025-08-01T09:51:45Z,2025-08-01T09:52:20Z,2025-08-01T09:51:45Z
112,112,31,56,1664,56,exit_platform,8,2025-08-01T09:52:23Z,2025-08-01T09:52:31Z,2025-08-01T09:52:23Z
113,113,32,56,2540,148,skip_immediate,0,2025-08-01T16:11:54Z,2025-08-01T16:11:55Z,20250801 161154
114,114,32,56,1136,211,skip_immediate,0,2025-08-01T16:11:57Z,2025-08-01T16:11:58Z,2025-08-01T16:11:57Z
115,115,32,56,1428,196,skip_immediate,0,2025-08-01T16:11:59Z,2025-08-01T16:12:00Z,20250801 161159
116,116,32,56,3794,184,watch_full,13,2025-08-01T16:12:01Z,2025-08-01T16:12:14Z,20250801 161201
117,117,32,56,1808,182,skip_immediate,0,2025-08-01T16:12:16Z,2025-08-01T16:12:17Z,2025-08-01T16:12:16Z
118,118,32,56,1355,45,exit_platform,8,2025-08-01T16:12:19Z,2025-08-01T16:12:27Z,20250801 161219
119,119,33,56,64,19,skip_immediate,0,2025-08-01T08:45:36Z,2025-08-01T08:45:37Z,2025-08-01T08:45:36Z
120,120,33,56,471,145,watch_full,35,2025-08-01T08:45:39Z,2025-08-01T08:46:14Z,2025-08-01T08:45:39Z
121,121,33,56,2936,170,skip_after_partial,21,2025-08-01T08:46:18Z,2025-08-01T08:46:39Z,2025-08-01T08:46:18Z
122,122,33,56,927,10,watch_full,24,2025-08-01T08:46:42Z,2025-08-01T08:47:06Z,2025-08-01T08:46:42Z
123,123,33,56,29,136,exit_platform,2,2025-08-01T08:47:10Z,2025-08-01T08:47:12Z,2025-08-01T08:47:10Z
124,124,34,56,3640,117,exit_platform,8,2025-08-01T10:13:26Z,2025-08-01T10:13:34Z,2025-08-01T10:13:26Z
125,125,35,60,2351,135,skip_immediate,0,2025-08-01T11:20:57Z,2025-08-01T11:20:58Z,2025-08-01T11:20:57Z
126,126,35,60,3353,41,skip_after_partial,NA,2025-08-01T11:21:00Z,2025-08-01T11:21:12Z,2025-08-01T11:21:00Z
127,127,35,60,3640,117,watch_full,29,2025-08-01T11:21:13Z,2025-08-01T11:21:42Z,2025-08-01T11:21:13Z
128,128,35,60,2792,209,skip_immediate,0,2025-08-01T11:21:45Z,2025-08-01T11:21:46Z,2025-08-01T11:21:45Z
129,129,35,60,3536,55,skip_immediate,0,2025-08-01T11:21:50Z,2025-08-01T11:21:51Z,2025-08-01T11:21:50Z
130,130,35,60,3536,55,exit_platform,8,2025-08-01T11:21:53Z,2025-08-01T11:22:01Z,2025-08-01T11:21:53Z
131,131,36,60,2569,123,skip_immediate,0,2025-08-01T07:28:29Z,2025-08-01T07:28:30Z,2025-08-01T07:28:29Z
132,132,36,60,1974,98,skip_immediate,NA,2025-08-01T07:28:31Z,2025-08-01T07:28:32Z,2025-08-01T07:28:31Z
133,133,36,60,3565,168,exit_platform,NA,2025-08-01T07:28:34Z,2025-08-01T07:28:39Z,2025-08-01T07:28:34Z
134,134,37,63,3224,117,watch_full,52,2025-08-01T14:19:11Z,2025-08-01T14:20:03Z,2025-08-01T14:19:11Z
135,135,37,63,4269,53,skip_after_partial,7,2025-08-01T14:20:04Z,2025-08-01T14:20:11Z,2025-08-01T14:20:04Z
136,136,37,63,1147,134,skip_after_partial,23,2025-08-01T14:20:15Z,2025-08-01T14:20:38Z,2025-08-01T14:20:15Z
137,137,37,63,3794,184,skip_after_partial,5,2025-08-01T14:20:42Z,2025-08-01T14:20:47Z,20250801 142042
138,138,37,63,3002,118,exit_platform,4,2025-08-01T14:20:48Z,2025-08-01T14:20:52Z,2025-08-01T14:20:48Z
139,139,38,73,2634,100,skip_after_partial,9,2025-08-01T17:08:40Z,2025-08-01T17:08:49Z,20250801 170840
140,140,38,73,3884,134,watch_full,25,2025-08-01T17:08:51Z,2025-08-01T17:09:16Z,2025-08-01T17:08:51Z
141,141,38,73,2634,100,skip_after_partial,15,2025-08-01T17:09:20Z,2025-08-01T17:09:35Z,2025-08-01T17:09:20Z
142,142,38,73,1147,134,exit_platform,3,2025-08-01T17:09:37Z,2025-08-01T17:09:40Z,2025-08-01T17:09:37Z
143,143,39,73,3091,142,exit_platform,5,2025-08-01T15:29:38Z,2025-08-01T15:29:43Z,20250801 152938
144,144,40,73,2175,179,skip_after_partial,NA,2025-08-01T16:45:39Z,2025-08-01T16:45:48Z,2025-08-01T16:45:39Z
145,145,40,73,3906,56,skip_immediate,0,2025-08-01T16:45:49Z,2025-08-01T16:45:50Z,2025-08-01T16:45:49Z
146,146,40,73,3091,142,exit_platform,3,2025-08-01T16:45:51Z,2025-08-01T16:45:54Z,2025-08-01T16:45:51Z
147,147,41,73,3222,145,watch_full,NA,2025-08-01T08:34:46Z,2025-08-01T08:35:24Z,2025-08-01T08:34:46Z
148,148,41,73,29,136,exit_platform,11,2025-08-01T08:35:27Z,2025-08-01T08:35:38Z,2025-08-01T08:35:27Z
149,149,42,73,876,116,skip_after_partial,NA,2025-08-01T07:44:15Z,2025-08-01T07:44:23Z,2025-08-01T07:44:15Z
150,150,42,73,876,116,skip_after_partial,NA,2025-08-01T07:44:26Z,2025-08-01T07:44:31Z,1754034266
151,151,42,73,876,116,skip_immediate,NA,2025-08-01T07:44:35Z,2025-08-01T07:44:36Z,2025-08-01T07:44:35Z
152,152,42,73,333,93,skip_after_partial,6,2025-08-01T07:44:37Z,2025-08-01T07:44:43Z,2025-08-01T07:44:37Z
153,153,42,73,47,124,skip_after_partial,16,2025-08-01T07:44:47Z,2025-08-01T07:45:03Z,20250801 074447
154,154,42,73,3906,56,watch_full,36,2025-08-01T07:45:06Z,2025-08-01T07:45:42Z,2025-08-01T07:45:06Z
155,155,42,73,2726,59,exit_platform,8,2025-08-01T07:45:44Z,2025-08-01T07:45:52Z,2025-08-01T07:45:44Z
156,156,43,80,3440,152,watch_full,25,2025-08-01T13:30:49Z,2025-08-01T13:31:14Z,1754055049
157,157,43,80,85,131,watch_full,NA,2025-08-01T13:31:16Z,2025-08-01T13:31:54Z,2025-08-01T13:31:16Z
158,158,43,80,2175,179,skip_after_partial,15,2025-08-01T13:31:57Z,2025-08-01T13:32:12Z,2025-08-01T13:31:57Z
159,159,43,80,2136,123,exit_platform,4,2025-08-01T13:32:14Z,2025-08-01T13:32:18Z,1754055134
160,160,44,80,3417,43,skip_immediate,0,2025-08-01T17:57:15Z,2025-08-01T17:57:16Z,2025-08-01T17:57:15Z
161,161,44,80,3884,134,skip_immediate,0,2025-08-01T17:57:18Z,2025-08-01T17:57:19Z,2025-08-01T17:57:18Z
162,162,44,80,3565,168,watch_full,NA,2025-08-01T17:57:20Z,2025-08-01T17:57:49Z,2025-08-01T17:57:20Z
163,163,44,80,2345,42,watch_full,37,2025-08-01T17:57:52Z,2025-08-01T17:58:29Z,20250801 175752
164,164,44,80,64,19,exit_platform,9,2025-08-01T17:58:32Z,2025-08-01T17:58:41Z,2025-08-01T17:58:32Z
165,165,45,81,1774,82,skip_immediate,0,2025-08-01T16:50:16Z,2025-08-01T16:50:17Z,20250801 165016
166,166,45,81,3848,83,exit_platform,NA,2025-08-01T16:50:18Z,2025-08-01T16:50:21Z,2025-08-01T16:50:18Z
167,167,46,85,2634,100,watch_full,NA,2025-08-01T21:15:48Z,2025-08-01T21:16:16Z,2025-08-01T21:15:48Z
168,168,46,85,4269,53,skip_after_partial,15,2025-08-01T21:16:17Z,2025-08-01T21:16:32Z,1754082977
169,169,46,85,4303,16,watch_full,38,2025-08-01T21:16:35Z,2025-08-01T21:17:13Z,20250801 211635
170,170,47,85,3884,134,exit_platform,5,2025-08-01T04:48:59Z,2025-08-01T04:49:04Z,2025-08-01T04:48:59Z
171,171,48,85,3896,68,skip_after_partial,16,2025-08-01T14:48:04Z,2025-08-01T14:48:20Z,2025-08-01T14:48:04Z
172,172,48,85,3536,55,skip_after_partial,20,2025-08-01T14:48:24Z,2025-08-01T14:48:44Z,2025-08-01T14:48:24Z
173,173,48,85,3536,55,watch_full,30,2025-08-01T14:48:47Z,2025-08-01T14:49:17Z,1754059727
174,174,48,85,3536,55,exit_platform,6,2025-08-01T14:49:21Z,2025-08-01T14:49:27Z,1754059761
175,175,49,85,3536,55,exit_platform,5,2025-08-01T05:23:37Z,2025-08-01T05:23:42Z,2025-08-01T05:23:37Z
176,176,50,92,4065,73,watch_full,31,2025-08-01T19:40:25Z,2025-08-01T19:40:56Z,20250801 194025
177,177,50,92,2548,12,exit_platform,NA,2025-08-01T19:40:59Z,2025-08-01T19:41:05Z,20250801 194059
178,178,51,92,2217,95,skip_immediate,0,2025-08-01T10:46:49Z,2025-08-01T10:46:50Z,2025-08-01T10:46:49Z
179,179,51,92,1548,45,skip_after_partial,21,2025-08-01T10:46:53Z,2025-08-01T10:47:14Z,2025-08-01T10:46:53Z
180,180,51,92,934,95,exit_platform,3,2025-08-01T10:47:16Z,2025-08-01T10:47:19Z,2025-08-01T10:47:16Z
181,181,52,93,29,136,watch_full,32,2025-08-01T09:00:30Z,2025-08-01T09:01:02Z,2025-08-01T09:00:30Z
182,182,52,93,1773,12,skip_immediate,0,2025-08-01T09:01:05Z,2025-08-01T09:01:06Z,2025-08-01T09:01:05Z
183,183,52,93,1849,132,exit_platform,NA,2025-08-01T09:01:08Z,2025-08-01T09:01:15Z,2025-08-01T09:01:08Z
184,184,53,94,2623,1,skip_immediate,0,2025-08-01T14:50:16Z,2025-08-01T14:50:17Z,2025-08-01T14:50:16Z
185,185,53,94,3896,68,watch_full,33,2025-08-01T14:50:18Z,2025-08-01T14:50:51Z,2025-08-01T14:50:18Z
186,186,53,94,1220,135,skip_immediate,0,2025-08-01T14:50:55Z,2025-08-01T14:50:56Z,2025-08-01T14:50:55Z
187,187,53,94,876,116,watch_full,NA,2025-08-01T14:50:58Z,2025-08-01T14:51:20Z,20250801 145058
188,188,53,94,2351,135,watch_full,38,2025-08-01T14:51:21Z,2025-08-01T14:51:59Z,2025-08-01T14:51:21Z
189,189,53,94,1849,132,exit_platform,NA,2025-08-01T14:52:03Z,2025-08-01T14:52:08Z,2025-08-01T14:52:03Z
190,190,54,95,1849,132,exit_platform,NA,2025-08-01T06:38:57Z,2025-08-01T06:39:08Z,2025-08-01T06:38:57Z
191,191,55,97,1812,145,skip_after_partial,13,2025-08-01T09:35:14Z,2025-08-01T09:35:27Z,20250801 093514
192,192,55,97,2146,88,skip_immediate,0,2025-08-01T09:35:29Z,2025-08-01T09:35:30Z,2025-08-01T09:35:29Z
193,193,55,97,2478,88,skip_after_partial,22,2025-08-01T09:35:32Z,2025-08-01T09:35:54Z,1754040932
194,194,55,97,3848,83,watch_full,NA,2025-08-01T09:35:58Z,2025-08-01T09:36:10Z,2025-08-01T09:35:58Z
195,195,55,97,3222,145,skip_after_partial,NA,2025-08-01T09:36:11Z,2025-08-01T09:36:25Z,20250801 093611
196,196,55,97,3002,118,skip_after_partial,9,2025-08-01T09:36:29Z,2025-08-01T09:36:38Z,2025-08-01T09:36:29Z
197,197,55,97,1249,160,skip_after_partial,24,2025-08-01T09:36:39Z,2025-08-01T09:37:03Z,2025-08-01T09:36:39Z
198,198,55,97,3440,152,watch_full,25,2025-08-01T09:37:07Z,2025-08-01T09:37:32Z,2025-08-01T09:37:07Z
199,199,55,97,3440,152,skip_immediate,0,2025-08-01T09:37:33Z,2025-08-01T09:37:34Z,2025-08-01T09:37:33Z
200,200,55,97,1808,182,watch_full,43,2025-08-01T09:37:36Z,2025-08-01T09:38:19Z,2025-08-01T09:37:36Z
201,201,55,97,2136,123,exit_platform,2,2025-08-01T09:38:22Z,2025-08-01T09:38:24Z,20250801 093822
202,202,56,99,1037,214,skip_after_partial,26,2025-08-01T03:18:54Z,2025-08-01T03:19:20Z,2025-08-01T03:18:54Z
203,203,56,99,4303,16,skip_immediate,0,2025-08-01T03:19:24Z,2025-08-01T03:19:25Z,20250801 031924
204,204,56,99,3896,68,exit_platform,2,2025-08-01T03:19:26Z,2025-08-01T03:19:28Z,2025-08-01T03:19:26Z
205,205,57,102,1037,214,watch_full,37,2025-08-01T21:54:41Z,2025-08-01T21:55:18Z,2025-08-01T21:54:41Z
206,206,57,102,29,136,watch_full,32,2025-08-01T21:55:20Z,2025-08-01T21:55:52Z,1754085320
207,207,57,102,4303,16,watch_full,38,2025-08-01T21:55:55Z,2025-08-01T21:56:33Z,2025-08-01T21:55:55Z
208,208,57,102,4120,87,exit_platform,8,2025-08-01T21:56:34Z,2025-08-01T21:56:42Z,2025-08-01T21:56:34Z
209,209,58,110,2345,42,exit_platform,5,2025-08-01T06:31:54Z,2025-08-01T06:31:59Z,2025-08-01T06:31:54Z
210,210,59,110,2345,42,skip_after_partial,10,2025-08-01T14:52:57Z,2025-08-01T14:53:07Z,20250801 145257
211,211,59,110,2175,179,skip_immediate,0,2025-08-01T14:53:08Z,2025-08-01T14:53:09Z,2025-08-01T14:53:08Z
212,212,59,110,2569,123,exit_platform,11,2025-08-01T14:53:13Z,2025-08-01T14:53:24Z,2025-08-01T14:53:13Z
213,213,60,112,4120,87,exit_platform,12,2025-08-01T11:48:49Z,2025-08-01T11:49:01Z,2025-08-01T11:48:49Z
214,214,61,112,4269,53,watch_full,30,2025-08-01T01:15:31Z,2025-08-01T01:16:01Z,2025-08-01T01:15:31Z
215,215,61,112,2217,95,exit_platform,14,2025-08-01T01:16:02Z,2025-08-01T01:16:16Z,2025-08-01T01:16:02Z
216,216,62,113,2478,88,skip_after_partial,29,2025-08-01T21:59:29Z,2025-08-01T21:59:58Z,20250801 215929
